" No. "," No. of clusters "," Normalization formula "," Distance measure "," Clustering method ","G2 index","Rank"
"1","3","Without normalization","Manhattan","single","-1.18822466290406","24"
"2","3","Without normalization","Manhattan","complete","-0.834019011541818","10"
"3","3","Without normalization","Manhattan","average","-1.01868363231681","15"
"4","3","Without normalization","Manhattan","mcquitty","-0.786930338389899","4"
"5","3","Without normalization","Manhattan","ward.D","-0.799704172387951","7"
"6","3","Without normalization","Euclidean","single","-1.17954669231236","22"
"7","3","Without normalization","Euclidean","complete","-0.772078547180769","1"
"8","3","Without normalization","Euclidean","average","-0.857770446515026","13"
"9","3","Without normalization","Euclidean","mcquitty","-1.19717092728092","25"
"10","3","Without normalization","Euclidean","ward.D","-0.799582420299097","6"
"11","3","Without normalization","Chebyschev","single","-1.17642788109594","20"
"12","3","Without normalization","Chebyschev","complete","-0.846227843078838","12"
"13","3","Without normalization","Chebyschev","average","-0.791617236983084","5"
"14","3","Without normalization","Chebyschev","mcquitty","-1.17928198992556","21"
"15","3","Without normalization","Chebyschev","ward.D","-0.806453382878264","8"
"16","3","Without normalization","Squared Euclidean","single","-1.17954669231236","23"
"17","3","Without normalization","Squared Euclidean","complete","-0.772078547180769","2"
"18","3","Without normalization","Squared Euclidean","average","-1.14997941229223","17"
"19","3","Without normalization","Squared Euclidean","mcquitty","-0.842485378684138","11"
"20","3","Without normalization","Squared Euclidean","ward.D","-0.807561570487742","9"
"21","3","Without normalization","Squared Euclidean","centroid","-1.0864052220733","16"
"22","3","Without normalization","Squared Euclidean","median","-0.88335812552914","14"
"23","3","Without normalization","GDM1","single","-1.24283564471575","27"
"24","3","Without normalization","GDM1","complete","-1.20380710893853","26"
"25","3","Without normalization","GDM1","average","-1.16300697105542","18"
"26","3","Without normalization","GDM1","mcquitty","-0.77823247382604","3"
"27","3","Without normalization","GDM1","ward.D","-1.17442413367191","19"
