" No. "," No. of clusters "," Normalization formula "," Distance measure "," Clustering method ","Calinski-Harabasz index ","Rank"
"1","3","Without normalization","Manhattan","single","143.161345195452","17"
"2","3","Without normalization","Manhattan","complete","216.986871824874","6"
"3","3","Without normalization","Manhattan","average","227.8087564194","4"
"4","3","Without normalization","Manhattan","mcquitty","173.598538750848","12"
"5","3","Without normalization","Manhattan","ward.D","228.148929690377","3"
"6","3","Without normalization","Euclidean","single","131.535895577473","19"
"7","3","Without normalization","Euclidean","complete","213.081709995193","9"
"8","3","Without normalization","Euclidean","average","149.025799039332","13"
"9","3","Without normalization","Euclidean","mcquitty","111.810960954272","24"
"10","3","Without normalization","Euclidean","ward.D","215.917574929039","7"
"11","3","Without normalization","Chebyschev","single","131.535895577473","20"
"12","3","Without normalization","Chebyschev","complete","62.9491743983156","27"
"13","3","Without normalization","Chebyschev","average","142.69524126988","18"
"14","3","Without normalization","Chebyschev","mcquitty","84.9150481184634","26"
"15","3","Without normalization","Chebyschev","ward.D","213.35606566926","8"
"16","3","Without normalization","Squared Euclidean","single","131.535895577473","21"
"17","3","Without normalization","Squared Euclidean","complete","213.081709995193","10"
"18","3","Without normalization","Squared Euclidean","average","149.025799039332","14"
"19","3","Without normalization","Squared Euclidean","mcquitty","209.619590691122","11"
"20","3","Without normalization","Squared Euclidean","ward.D","222.719163822154","5"
"21","3","Without normalization","Squared Euclidean","centroid","149.025799039332","15"
"22","3","Without normalization","Squared Euclidean","median","99.0031335190529","25"
"23","3","Without normalization","GDM1","single","131.535895577473","22"
"24","3","Without normalization","GDM1","complete","148.293993360392","16"
"25","3","Without normalization","GDM1","average","131.535895577473","23"
"26","3","Without normalization","GDM1","mcquitty","236.558271020018","1"
"27","3","Without normalization","GDM1","ward.D","231.628550663602","2"
