" No. "," No. of clusters "," Normalization formula "," Distance measure "," Clustering method ","G2 index","Rank"
"1","2","Without normalization","Manhattan","single","0.545750953867499","101"
"2","3","Without normalization","Manhattan","single","0.455436216318071","108"
"3","4","Without normalization","Manhattan","single","0.842836654962662","44"
"4","5","Without normalization","Manhattan","single","0.870781976156799","32"
"5","2","Without normalization","Manhattan","complete","0.706248468512619","77"
"6","3","Without normalization","Manhattan","complete","0.860910398048887","35"
"7","4","Without normalization","Manhattan","complete","0.900118369877684","14"
"8","5","Without normalization","Manhattan","complete","0.942749435572402","4"
"9","2","Without normalization","Manhattan","average","0.810970052083333","57"
"10","3","Without normalization","Manhattan","average","0.878720435822482","29"
"11","4","Without normalization","Manhattan","average","0.900118369877684","15"
"12","5","Without normalization","Manhattan","average","0.942749435572402","5"
"13","2","Without normalization","Manhattan","mcquitty","0.809621389539422","59"
"14","3","Without normalization","Manhattan","mcquitty","0.846508563899868","42"
"15","4","Without normalization","Manhattan","mcquitty","0.872374965460072","31"
"16","5","Without normalization","Manhattan","mcquitty","0.942749435572402","6"
"17","2","Without normalization","Manhattan","ward.D","0.810970052083333","58"
"18","3","Without normalization","Manhattan","ward.D","0.779125749543756","70"
"19","4","Without normalization","Manhattan","ward.D","0.838213377750504","48"
"20","5","Without normalization","Manhattan","ward.D","0.896716889880952","17"
"21","2","Without normalization","Euclidean","single","0.654804023586542","84"
"22","3","Without normalization","Euclidean","single","0.554550593555681","99"
"23","4","Without normalization","Euclidean","single","0.479310344827586","105"
"24","5","Without normalization","Euclidean","single","0.842122987808985","45"
"25","2","Without normalization","Euclidean","complete","0.647887094938458","86"
"26","3","Without normalization","Euclidean","complete","0.797601391559096","62"
"27","4","Without normalization","Euclidean","complete","0.832123629547287","49"
"28","5","Without normalization","Euclidean","complete","0.896393169897641","18"
"29","2","Without normalization","Euclidean","average","0.568042813455657","96"
"30","3","Without normalization","Euclidean","average","0.858390911506776","36"
"31","4","Without normalization","Euclidean","average","0.881855588749225","27"
"32","5","Without normalization","Euclidean","average","0.909733010211479","10"
"33","2","Without normalization","Euclidean","mcquitty","0.647887094938458","87"
"34","3","Without normalization","Euclidean","mcquitty","0.797601391559096","63"
